stpost,district,incname,incparty,d24,r24,tot24,pcd24,pcr24,marg24,d20,r20,tot20,pcd20,pcr20,marg20
MN,5,Ilhan Omar,D,292800,65271,367777,0.7961,0.1775,0.6187,319407,69135,396493,0.8056,0.1744,0.6312
MN,6,Tom Emmer,R,168603,253253,430366,0.3918,0.5885,-0.1967,165862,238872,413782,0.4008,0.5773,-0.1764
MN,7,Michelle Fischbach,R,123652,269504,399799,0.3093,0.6741,-0.3648,128550,260007,395801,0.3248,0.6569,-0.3321
MN,8,Pete Stauber,R,180905,242420,430450,0.4203,0.5632,-0.1429,182461,230050,420814,0.4336,0.5467,-0.1131
MO,1,Wesley Bell,D,244275,64567,314220,0.7774,0.2055,0.5719,278269,71037,355000,0.7839,0.2001,0.5838
MO,2,Ann Wagner,R,196255,230556,433971,0.4522,0.5313,-0.0790,198823,232845,438960,0.4529,0.5304,-0.0775
MO,3,Bob Onder,R,146055,254638,406388,0.3594,0.6266,-0.2672,142584,247108,397210,0.3590,0.6221,-0.2631
MO,4,Mark Alford,R,106163,265110,375940,0.2824,0.7052,-0.4228,109920,257315,374598,0.2934,0.6869,-0.3935
MO,5,Emanuel Cleaver,D,205020,126971,337623,0.6072,0.3761,0.2312,217895,125686,350584,0.6215,0.3585,0.2630
MO,6,Sam Graves,R,114818,263613,382953,0.2998,0.6884,-0.3885,115548,255727,377863,0.3058,0.6768,-0.3710
MO,7,Eric Burlison,R,105495,265470,375382,0.2810,0.7072,-0.4262,103423,254241,364374,0.2838,0.6977,-0.4139
MO,8,Jason Smith,R,82518,281060,367119,0.2248,0.7656,-0.5408,86552,274779,366570,0.2361,0.7496,-0.5135
MS,1,Trent Kelly,R,99872,219885,324057,0.3082,0.6785,-0.3703,111535,217291,333728,0.3342,0.6511,-0.3169
MS,2,Bennie Thompson,D,170917,112590,286455,0.5967,0.3930,0.2036,208159,121206,333247,0.6246,0.3637,0.2609
MS,3,Michael Guest,R,113023,207443,323626,0.3492,0.6410,-0.2918,128386,212321,345011,0.3721,0.6154,-0.2433
MS,4,Mike Ezell,R,82856,207826,293870,0.2819,0.7072,-0.4253,91318,205946,301772,0.3026,0.6825,-0.3798
MT,1,Ryan Zinke,R,137405,174604,322059,0.4266,0.5421,-0.1155,143417,165189,316603,0.4530,0.5218,-0.0688
MT,2,Troy Downing,R,94501,177475,280904,0.3364,0.6318,-0.2954,101369,178413,287037,0.3532,0.6216,-0.2684
NC,1,Don Davis,D,182919,194701,380609,0.4806,0.5116,-0.0310,195535,189037,387749,0.5043,0.4875,0.0168
NC,2,Deborah Ross,D,271376,132352,410662,0.6608,0.3223,0.3385,274375,129374,410264,0.6688,0.3153,0.3534
NC,3,Greg Murphy,R,147424,230887,381786,0.3861,0.6048,-0.2186,148669,211944,365705,0.4065,0.5795,-0.1730
NC,4,Valerie Foushee,D,312671,115458,435313,0.7183,0.2652,0.4530,303300,109913,418781,0.7242,0.2625,0.4618
NC,5,Virginia Foxx,R,165367,237737,407131,0.4062,0.5839,-0.1778,167159,228749,400206,0.4177,0.5716,-0.1539
NC,6,Addison McDowell,R,159318,226306,390326,0.4082,0.5798,-0.1716,157028,218931,380748,0.4124,0.5750,-0.1626
NC,7,David Rouzer,R,188984,250257,443261,0.4263,0.5646,-0.1382,182079,227837,415038,0.4387,0.5490,-0.1103
NC,8,Mark Harris,R,162688,241935,408938,0.3978,0.5916,-0.1938,160797,231207,396368,0.4057,0.5833,-0.1776
NC,9,Richard Hudson,R,158667,219161,381829,0.4155,0.5740,-0.1584,157590,209219,371496,0.4242,0.5632,-0.1390
NC,10,Pat Harrigan,R,168721,242317,415176,0.4064,0.5836,-0.1773,164107,227817,396712,0.4137,0.5743,-0.1606
NC,11,Chuck Edwards,R,196320,238092,439574,0.4466,0.5416,-0.0950,189675,237262,432661,0.4384,0.5484,-0.1100
NC,12,Alma Adams,D,254841,91752,352991,0.7219,0.2599,0.4620,262552,85335,352999,0.7438,0.2417,0.5020
NC,13,Brad Knott,R,175125,245091,424917,0.4121,0.5768,-0.1647,158090,225142,388665,0.4068,0.5793,-0.1725
NC,14,Tim Moore,R,170950,232364,407378,0.4196,0.5704,-0.1508,163279,227014,394744,0.4136,0.5751,-0.1615
ND,1,Julie Fedorchak,R,112327,246505,365059,0.3077,0.6752,-0.3676,114902,235595,359890,0.3193,0.6546,-0.3354
NE,1,Mike Flood,R,136153,177666,318304,0.4277,0.5582,-0.1304,136956,171957,316440,0.4328,0.5434,-0.1106
NE,2,Don Bacon,R,163541,148905,316690,0.5164,0.4702,0.0462,163239,143429,312940,0.5216,0.4583,0.0633
NE,3,Adrian Smith,R,70301,238245,312165,0.2252,0.7632,-0.5380,74388,241459,322332,0.2308,0.7491,-0.5183
NH,1,Chris Pappas,D,208186,199942,411957,0.5054,0.4853,0.0201,210310,186410,403198,0.5216,0.4623,0.0593
NH,2,Maggie Goodlander,D,210302,195581,410159,0.5127,0.4768,0.0359,214627,179250,400635,0.5357,0.4474,0.0883
NJ,1,Donald Norcross,D,220600,150098,376377,0.5861,0.3988,0.1873,247693,149375,402495,0.6154,0.3711,0.2443
NJ,2,Jeff Van Drew,R,166360,214917,386844,0.4300,0.5556,-0.1255,192481,212664,410535,0.4689,0.5180,-0.0492
NJ,3,Herb Conaway,D,212712,179400,398668,0.5336,0.4500,0.0836,248284,186603,440666,0.5634,0.4235,0.1400
NJ,4,Chris Smith,R,142650,268072,416430,0.3426,0.6437,-0.3012,163106,259059,427724,0.3813,0.6057,-0.2243
NJ,5,Josh Gottheimer,D,200624,194528,402838,0.4980,0.4829,0.0151,240209,186611,432269,0.5557,0.4317,0.1240
NJ,6,Frank Pallone,D,167151,146484,321741,0.5195,0.4553,0.0642,197825,133268,335439,0.5898,0.3973,0.1925
NJ,7,Tom Kean,R,216349,221591,446499,0.4845,0.4963,-0.0117,235951,218151,461600,0.5112,0.4726,0.0386
NJ,8,Rob Menendez,D,135328,81523,222455,0.6083,0.3665,0.2419,173894,64633,241039,0.7214,0.2681,0.4533
NJ,9,Nellie Pou,D,137598,140858,286539,0.4802,0.4916,-0.0114,185603,126054,315019,0.5892,0.4001,0.1890
NJ,10,LaMonica McIver,D,196329,62565,263460,0.7452,0.2375,0.5077,234076,53928,290354,0.8062,0.1857,0.6204
NJ,11,Mikie Sherrill,D,219563,183688,411672,0.5333,0.4462,0.0871,252859,178835,437161,0.5784,0.4091,0.1693
NJ,12,Bonnie Watson Coleman,D,205449,124491,339201,0.6057,0.3670,0.2387,236355,114094,355052,0.6657,0.3213,0.3443
NM,1,Melanie Stansbury,D,194851,150029,353920,0.5506,0.4239,0.1266,201158,149225,359557,0.5595,0.4150,0.1444
NM,2,Gabe Vasquez,D,130539,135451,271659,0.4805,0.4986,-0.0181,137449,121889,264675,0.5193,0.4605,0.0588
NM,3,Teresa Leger Fernandez,D,153411,137911,297824,0.5151,0.4631,0.0520,163007,130780,299733,0.5438,0.4363,0.1075
NV,1,Dina Titus,D,168452,160877,335276,0.5024,0.4798,0.0226,172621,144973,324286,0.5323,0.4471,0.0853
NV,2,Mark Amodei,R,176315,235008,421161,0.4186,0.5580,-0.1394,173063,217348,401970,0.4305,0.5407,-0.1102
NV,3,Susie Lee,D,187997,190836,385188,0.4881,0.4954,-0.0074,190167,166069,363064,0.5238,0.4574,0.0664
NV,4,Steven Horsford,D,172433,164484,343215,0.5024,0.4792,0.0232,167635,141501,316056,0.5304,0.4477,0.0827
NY,1,Nick LaLota,R,190070,233206,429463,0.4426,0.5430,-0.1004,207858,215362,428299,0.4853,0.5028,-0.0175
NY,2,Andrew Garbarino,R,153928,204363,362137,0.4251,0.5643,-0.1393,176297,185233,365862,0.4819,0.5063,-0.0244
NY,3,Tom Suozzi,D,178099,194286,378302,0.4708,0.5136,-0.0428,216926,172453,393286,0.5516,0.4385,0.1131
NY,4,Laura Gillen,D,194428,189465,388579,0.5004,0.4876,0.0128,223909,166538,394485,0.5676,0.4222,0.1454
NY,5,Gregory Meeks,D,170189,68170,242000,0.7033,0.2817,0.4216,216607,49624,267734,0.8090,0.1853,0.6237
NY,6,Grace Meng,D,109480,96065,209347,0.5230,0.4589,0.0641,149718,81324,232973,0.6426,0.3491,0.2936
NY,7,Nydia Velazquez,D,168187,60343,235013,0.7156,0.2568,0.4589,199115,48083,249547,0.7979,0.1927,0.6052
NY,8,Hakeem Jeffries,D,170067,64988,238931,0.7118,0.2720,0.4398,203603,57647,262973,0.7742,0.2192,0.5550
NY,9,Yvette Clarke,D,173762,71900,250858,0.6927,0.2866,0.4061,204222,63657,269726,0.7571,0.2360,0.5211
NY,10,Dan Goldman,D,218940,51536,276966,0.7905,0.1861,0.6044,242638,40374,285858,0.8488,0.1412,0.7076
NY,11,Nicole Malliotakis,R,100628,167092,272725,0.3690,0.6127,-0.2437,134698,157208,294600,0.4572,0.5336,-0.0764
NY,12,Jerry Nadler,D,273954,58314,339053,0.8080,0.1720,0.6360,291127,47209,341717,0.8520,0.1382,0.7138
NY,13,Adriano Espaillat,D,188808,46800,239540,0.7882,0.1954,0.5928,242303,30463,274962,0.8812,0.1108,0.7704
NY,14,Alexandria Ocasio-Cortez,D,131879,67385,203123,0.6493,0.3317,0.3175,178061,50782,230638,0.7720,0.2202,0.5519
NY,15,Ritchie Torres,D,137445,47283,186840,0.7356,0.2531,0.4826,184830,31368,217537,0.8496,0.1442,0.7055
NY,16,George Latimer,D,216167,108141,326298,0.6625,0.3314,0.3311,240156,91069,334406,0.7182,0.2723,0.4458
NY,17,Mike Lawler,R,194302,192139,389343,0.4991,0.4935,0.0056,210419,171537,386305,0.5447,0.4440,0.1007
NY,18,Pat Ryan,D,190672,178297,371412,0.5134,0.4801,0.0333,196151,163003,364815,0.5377,0.4468,0.0909
NY,19,Josh Riley,D,194147,187279,384909,0.5044,0.4866,0.0178,196149,179038,382878,0.5123,0.4676,0.0447
NY,20,Paul Tonko,D,211181,158272,373934,0.5648,0.4233,0.1415,224446,151042,383264,0.5856,0.3941,0.1915
NY,21,Elise Stefanik,R,140758,214512,357087,0.3942,0.6007,-0.2065,146580,202300,355821,0.4119,0.5685,-0.1566
NY,22,John Mannion,D,194091,166358,362520,0.5354,0.4589,0.0765,202853,160638,371578,0.5459,0.4323,0.1136
NY,23,Nick Langworthy,R,154446,237489,395169,0.3908,0.6010,-0.2101,160038,232952,401042,0.3991,0.5809,-0.1818
NY,24,Claudia Tenney,R,143256,229987,375663,0.3813,0.6122,-0.2309,146388,222914,377792,0.3875,0.5900,-0.2026
NY,25,Joe Morelle,D,220540,151196,375956,0.5866,0.4022,0.1844,231293,150712,390473,0.5923,0.3860,0.2064
NY,26,Tim Kennedy,D,200098,134624,339786,0.5889,0.3962,0.1927,218507,129475,354198,0.6169,0.3655,0.2514
OH,1,Greg Landsman,D,211031,185646,400601,0.5268,0.4634,0.0634,220131,185305,411737,0.5346,0.4501,0.0846
OH,2,David Taylor,R,97847,278070,378772,0.2583,0.7341,-0.4758,100787,272326,378189,0.2665,0.7201,-0.4536
OH,3,Joyce Beatty,D,249335,105193,358198,0.6961,0.2937,0.4024,271653,104526,381877,0.7114,0.2737,0.4376
OH,4,Jim Jordan,R,126919,276526,407004,0.3118,0.6794,-0.3676,125753,268732,400793,0.3138,0.6705,-0.3567
OH,5,Bob Latta,R,138272,254181,396079,0.3491,0.6417,-0.2926,142103,248389,396658,0.3583,0.6262,-0.2680
OH,6,Michael Rulli,R,125146,253662,381790,0.3278,0.6644,-0.3366,139489,254100,399031,0.3496,0.6368,-0.2872
OH,7,Max Miller,R,185110,229613,418212,0.4426,0.5490,-0.1064,192588,232245,429982,0.4479,0.5401,-0.0922
OH,8,Warren Davidson,R,147411,240026,390902,0.3771,0.6140,-0.2369,153374,241662,400865,0.3826,0.6029,-0.2202
OH,9,Marcy Kaptur,D,174641,200020,378201,0.4618,0.5289,-0.0671,186080,197465,390202,0.4769,0.5061,-0.0292
OH,10,Mike Turner,R,176357,198058,378164,0.4664,0.5237,-0.0574,185657,199447,391739,0.4739,0.5091,-0.0352
OH,11,Shontel Brown,D,247406,70879,320576,0.7718,0.2211,0.5507,280537,74103,358397,0.7828,0.2068,0.5760
OH,12,Troy Balderson,R,129821,257804,390981,0.3320,0.6594,-0.3273,131512,251592,389032,0.3380,0.6467,-0.3087
OH,13,Emilia Sykes,D,195964,195781,395335,0.4957,0.4952,0.0005,205953,194497,406190,0.5070,0.4788,0.0282
OH,14,Dave Joyce,R,164380,237003,404819,0.4061,0.5855,-0.1794,172806,234505,412862,0.4186,0.5680,-0.1494
OH,15,Mike Carey,R,164058,197654,365382,0.4490,0.5410,-0.0919,170743,195940,372828,0.4580,0.5255,-0.0676
OK,1,Kevin Hern,R,120251,188080,314998,0.3818,0.5971,-0.2153,121877,190291,320384,0.3804,0.5939,-0.2135
OK,2,Josh Brecheen,R,69690,250807,325621,0.2140,0.7702,-0.5562,71996,243602,321500,0.2239,0.7577,-0.5338
OK,3,Frank Lucas,R,71499,195379,272017,0.2628,0.7183,-0.4554,72507,194433,273182,0.2654,0.7117,-0.4463
OK,4,Tom Cole,R,100216,202952,309092,0.3242,0.6566,-0.3324,101711,199240,308407,0.3298,0.6460,-0.3162
OK,5,Stephanie Bice,R,137942,198995,344446,0.4005,0.5777,-0.1772,135799,192715,337226,0.4027,0.5715,-0.1688
OR,1,Suzanne Bonamici,D,245504,107459,365289,0.6721,0.2942,0.3779,268141,113977,392100,0.6839,0.2907,0.3932
OR,2,Cliff Bentz,R,128285,227462,365481,0.3510,0.6224,-0.2714,139315,232311,380527,0.3661,0.6105,-0.2444
OR,3,Maxine Dexter,D,248772,88286,349066,0.7127,0.2529,0.4598,280510,97552,386700,0.7254,0.2523,0.4731
OR,4,Val Hoyle,D,211870,164979,388781,0.5450,0.4243,0.1206,224343,172448,407431,0.5506,0.4233,0.1274
OR,5,Janelle Bynum,D,217317,182131,411960,0.5275,0.4421,0.0854,225723,188094,424112,0.5322,0.4435,0.0887
OR,6,Andrea Salinas,D,188852,149163,348891,0.5413,0.4275,0.1138,202351,154067,366361,0.5523,0.4205,0.1318
PA,1,Brian Fitzpatrick,R,235106,233595,473307,0.4967,0.4935,0.0032,241484,219852,466243,0.5179,0.4715,0.0464
PA,2,Brendan Boyle,D,198759,93169,295441,0.6728,0.3154,0.3574,221374,88089,311819,0.7099,0.2825,0.4274
PA,3,Dwight Evans,D,346947,42317,394010,0.8806,0.1074,0.7732,357581,36721,396651,0.9015,0.0926,0.8089
PA,4,Madeleine Dean,D,268429,194501,467793,0.5738,0.4158,0.1580,269159,182686,456857,0.5892,0.3999,0.1893
PA,5,Mary Gay Scanlon,D,267143,147243,418792,0.6379,0.3516,0.2863,276153,140480,420263,0.6571,0.3343,0.3228
PA,6,Chrissy Houlahan,D,234605,186113,425061,0.5519,0.4379,0.1141,235154,174191,414329,0.5676,0.4204,0.1471
PA,7,Ryan Mackenzie,R,196712,209881,410973,0.4786,0.5107,-0.0320,197117,194660,396503,0.4971,0.4909,0.0062
PA,8,Rob Bresnahan,R,177063,210245,390434,0.4535,0.5385,-0.0850,183189,194267,381336,0.4804,0.5094,-0.0291
PA,9,Dan Meuser,R,121820,272975,398386,0.3058,0.6852,-0.3794,119969,261281,386871,0.3101,0.6754,-0.3653
PA,10,Scott Perry,R,192758,214297,411782,0.4681,0.5204,-0.0523,188632,205148,399568,0.4721,0.5134,-0.0413
PA,11,Lloyd Smucker,R,160194,248332,412566,0.3883,0.6019,-0.2136,153327,237723,397039,0.3862,0.5987,-0.2126
PA,12,Summer Lee,D,253699,171382,429050,0.5913,0.3994,0.1919,255322,169617,429696,0.5942,0.3947,0.1995
PA,13,John Joyce,R,110815,298877,413001,0.2683,0.7237,-0.4554,107198,288121,400132,0.2679,0.7201,-0.4522
PA,14,Guy Reschenthaler,R,138813,279274,421084,0.3297,0.6632,-0.3336,138892,268695,412038,0.3371,0.6521,-0.3150
PA,15,Glenn Thompson,R,121693,272691,397753,0.3060,0.6856,-0.3796,119459,263001,387754,0.3081,0.6783,-0.3702
PA,16,Mike Kelly,R,159531,254619,417676,0.3819,0.6096,-0.2277,158730,242664,406695,0.3903,0.5967,-0.2064
PA,17,Chris Deluzio,D,238954,213797,457096,0.5228,0.4677,0.0550,237707,211205,454479,0.5230,0.4647,0.0583
RI,1,Gabe Amo,D,140825,88794,234822,0.5997,0.3781,0.2216,152956,83225,239685,0.6382,0.3472,0.2909
RI,2,Seth Magaziner,D,144331,125612,275837,0.5232,0.4554,0.0679,154530,116697,275313,0.5613,0.4239,0.1374
SC,1,Nancy Mace,R,171105,223189,400369,0.4274,0.5575,-0.1301,171781,204848,383006,0.4485,0.5348,-0.0863
SC,2,Joe Wilson,R,154783,205695,365954,0.4230,0.5621,-0.1391,161002,199780,366492,0.4393,0.5451,-0.1058
SC,3,Sheri Biggs,R,99185,252655,356369,0.2783,0.7090,-0.4306,106461,236981,348346,0.3056,0.6803,-0.3747
SC,4,William Timmons,R,132540,216077,354343,0.3740,0.6098,-0.2358,138171,202545,347082,0.3981,0.5836,-0.1855
SC,5,Ralph Norman,R,141510,226473,373054,0.3793,0.6071,-0.2277,147073,213484,365450,0.4024,0.5842,-0.1817
SC,6,Jim Clyburn,D,189648,118611,313271,0.6054,0.3786,0.2268,219768,111769,336352,0.6534,0.3323,0.3211
SC,7,Russell Fry,R,139681,241046,384780,0.3630,0.6265,-0.2634,147285,215696,366601,0.4018,0.5884,-0.1866
SD,1,Dusty Johnson,R,146859,272081,428922,0.3424,0.6343,-0.2919,150471,261043,422609,0.3561,0.6177,-0.2616
TN,1,Diana Harshbarger,R,71649,273159,348378,0.2057,0.7841,-0.5784,74136,256544,336324,0.2204,0.7628,-0.5424
TN,2,Tim Burchett,R,118773,242945,366766,0.3238,0.6624,-0.3386,122695,226798,356264,0.3444,0.6366,-0.2922
TN,3,Chuck Fleischmann,R,113479,243103,361316,0.3141,0.6728,-0.3588,115371,226469,348163,0.3314,0.6505,-0.3191
TN,4,Scott DesJarlais,R,93024,239837,336886,0.2761,0.7119,-0.4358,98034,220498,324523,0.3021,0.6795,-0.3774
TN,5,Andy Ogles,R,150373,216675,373015,0.4031,0.5809,-0.1777,157606,198784,364675,0.4322,0.5451,-0.1129
TN,6,John Rose,R,114012,240346,358805,0.3178,0.6699,-0.3521,120181,221681,348370,0.3450,0.6363,-0.2914
TN,7,VACANT (Green),R,127803,202510,335187,0.3813,0.6042,-0.2229,135634,185342,328513,0.4129,0.5642,-0.1513
TN,8,David Kustoff,R,100535,243791,348278,0.2887,0.7000,-0.4113,110189,244389,359751,0.3063,0.6793,-0.3730
TN,9,Steve Cohen,D,166617,64499,235311,0.7081,0.2741,0.4340,209865,71971,286406,0.7328,0.2513,0.4815
TX,1,Nathaniel Moran,R,78564,246363,327192,0.2401,0.7530,-0.5128,86340,235935,325932,0.2649,0.7239,-0.4590
TX,2,Dan Crenshaw,R,124591,203572,332111,0.3751,0.6130,-0.2378,121722,194830,321027,0.3792,0.6069,-0.2277
TX,3,Keith Self,R,153496,232845,395370,0.3882,0.5889,-0.2007,152283,204522,362332,0.4203,0.5645,-0.1442
TX,4,Pat Fallon,R,120188,239000,364577,0.3297,0.6556,-0.3259,125331,214733,344380,0.3639,0.6235,-0.2596
TX,5,Lance Gooden,R,111027,194767,309229,0.3590,0.6298,-0.2708,113821,180707,298176,0.3817,0.6060,-0.2243
TX,6,Jake Ellzey,R,104150,188598,295945,0.3519,0.6373,-0.2854,105417,172963,281938,0.3739,0.6135,-0.2396
TX,7,Lizzie Fletcher,D,148939,96446,252742,0.5893,0.3816,0.2077,179327,96257,279261,0.6421,0.3447,0.2975
TX,8,Morgan Luttrell,R,113192,231430,348986,0.3243,0.6631,-0.3388,111737,196658,312347,0.3577,0.6296,-0.2719
TX,9,Al Green,D,169156,64549,237177,0.7132,0.2722,0.4411,195428,58355,256506,0.7619,0.2275,0.5344
TX,10,Michael McCaul,R,131834,220457,356885,0.3694,0.6177,-0.2483,135094,198897,339628,0.3978,0.5856,-0.1879
TX,11,August Pfluger,R,71353,192220,265865,0.2684,0.7230,-0.4546,77977,186084,267919,0.2910,0.6946,-0.4035
TX,12,Craig Goldman,R,131637,209675,345291,0.3812,0.6072,-0.2260,130235,189089,324606,0.4012,0.5825,-0.1813
TX,13,Ronny Jackson,R,77626,222446,303031,0.2562,0.7341,-0.4779,79206,215372,299331,0.2646,0.7195,-0.4549
TX,14,Randy Weber,R,101583,208090,312766,0.3248,0.6653,-0.3405,110036,199675,314088,0.3503,0.6357,-0.2854
TX,15,Monica De La Cruz,R,93470,134492,229772,0.4068,0.5853,-0.1785,109177,115722,227089,0.4808,0.5096,-0.0288
TX,16,Veronica Escobar,D,132189,95314,230335,0.5739,0.4138,0.1601,163505,76976,244212,0.6695,0.3152,0.3543
TX,17,Pete Sessions,R,105287,193584,302001,0.3486,0.6410,-0.2924,114751,182847,302045,0.3799,0.6054,-0.2255
TX,18,[VACANT],D,154657,65672,223517,0.6919,0.2938,0.3981,177368,60370,240982,0.7360,0.2505,0.4855
TX,19,Jodey Arrington,R,66869,212716,282163,0.2370,0.7539,-0.5169,73174,202461,279621,0.2617,0.7241,-0.4624
TX,20,Joaquin Castro,D,147731,95409,245945,0.6007,0.3879,0.2127,172367,85595,262144,0.6575,0.3265,0.3310
TX,21,Chip Roy,R,163520,266269,434621,0.3762,0.6126,-0.2364,164213,246263,416581,0.3942,0.5912,-0.1970
TX,22,Troy Nehls,R,136411,204248,347223,0.3929,0.5882,-0.1954,138254,191937,334585,0.4132,0.5737,-0.1604
TX,23,Tony Gonzales,R,127486,174904,305276,0.4176,0.5729,-0.1553,134552,155681,294019,0.4576,0.5295,-0.0719
TX,24,Beth Van Duyne,R,157912,217060,380887,0.4146,0.5699,-0.1553,168124,216345,390681,0.4303,0.5538,-0.1234
TX,25,Roger Williams,R,106983,231289,342104,0.3127,0.6761,-0.3634,112309,215979,332712,0.3376,0.6491,-0.3116
TX,26,Brandon Gill,R,149357,242431,397123,0.3761,0.6105,-0.2344,144823,211963,361989,0.4001,0.5856,-0.1855
TX,27,Michael Cloud,R,99368,184228,286037,0.3474,0.6441,-0.2967,109720,174253,287748,0.3813,0.6056,-0.2243
TX,28,Henry Cuellar,D,114961,133211,250380,0.4591,0.5320,-0.0729,131726,114184,249012,0.5290,0.4585,0.0704
TX,29,Sylvia Garcia,D,92821,61054,155692,0.5962,0.3921,0.2040,118450,54253,174765,0.6778,0.3104,0.3673
TX,30,Jasmine Crockett,D,185466,65876,254608,0.7284,0.2587,0.4697,217199,58708,279332,0.7776,0.2102,0.5674
TX,31,John Carter,R,142633,230668,378316,0.3770,0.6097,-0.2327,133165,202406,341869,0.3895,0.5921,-0.2025
TX,32,Julie Johnson,D,145115,88312,239154,0.6068,0.3693,0.2375,172823,86040,263239,0.6565,0.3269,0.3297
TX,33,Marc Veasey,D,113651,55269,172887,0.6574,0.3197,0.3377,139290,45685,187606,0.7425,0.2435,0.4989
TX,34,Vicente Gonzalez,D,96992,106061,204684,0.4739,0.5182,-0.0443,116856,85153,203935,0.5730,0.4175,0.1555
TX,35,Greg Casar,D,176223,86466,266780,0.6606,0.3241,0.3364,187900,69342,262092,0.7169,0.2646,0.4524
TX,36,Brian Babin,R,94164,205607,302998,0.3108,0.6786,-0.3678,102316,198540,304672,0.3358,0.6517,-0.3158
TX,37,Lloyd Doggett,D,259547,85851,352071,0.7372,0.2438,0.4934,289226,86849,383154,0.7549,0.2267,0.5282
TX,38,Wesley Hunt,R,134998,207050,348158,0.3877,0.5947,-0.2070,143907,208722,357580,0.4024,0.5837,-0.1813
UT,1,Blake Moore,R,144821,220212,376167,0.3850,0.5854,-0.2004,142221,216685,374776,0.3795,0.5782,-0.1987
UT,2,Celeste Maloy,R,140188,214061,363526,0.3856,0.5888,-0.2032,143194,205210,362061,0.3955,0.5668,-0.1713
UT,3,Mike Kennedy,R,146138,218601,375190,0.3895,0.5826,-0.1931,149658,224849,391105,0.3827,0.5749,-0.1923
UT,4,Burgess Owens,R,131419,230945,373068,0.3523,0.6190,-0.2668,125210,218396,359735,0.3481,0.6071,-0.2590
VA,1,Rob Wittman,R,227038,250959,484061,0.4690,0.5184,-0.0494,215574,244413,466892,0.4617,0.5235,-0.0618
VA,2,Jen Kiggans,R,203279,204307,412555,0.4927,0.4952,-0.0025,201896,194173,402884,0.5011,0.4820,0.0192
VA,3,Bobby Scott,D,213026,102168,319745,0.6662,0.3195,0.3467,230576,101134,337411,0.6834,0.2997,0.3836
VA,4,Jennifer McClellan,D,251005,125941,382432,0.6563,0.3293,0.3270,260886,122375,388140,0.6721,0.3153,0.3569
VA,5,John McGuire,R,191726,246040,442168,0.4336,0.5564,-0.1228,194989,230682,431686,0.4517,0.5344,-0.0827
VA,6,Ben Cline,R,154344,252669,411692,0.3749,0.6137,-0.2388,133543,208274,347395,0.3844,0.5995,-0.2151
VA,7,Eugene Vindman,D,203204,191696,402228,0.5052,0.4766,0.0286,204951,178472,389585,0.5261,0.4581,0.0680
VA,8,Don Beyer,D,285003,92724,386512,0.7374,0.2399,0.4975,305118,84142,394439,0.7735,0.2133,0.5602
VA,9,Morgan Griffith,R,112209,291608,407182,0.2756,0.7162,-0.4406,114163,282093,401051,0.2847,0.7034,-0.4187
VA,10,Suhas Subramanyam,D,221123,186190,417946,0.5291,0.4455,0.0836,238976,164941,410021,0.5828,0.4023,0.1806
VA,11,Gerry Connolly,D,273439,130784,416054,0.6572,0.3143,0.3429,295688,121172,422707,0.6995,0.2867,0.4129
VT,1,Becca Balint,D,235791,119395,366389,0.6436,0.3259,0.3177,242820,112704,365486,0.6644,0.3084,0.3560
WA,1,Suzan DelBene,D,232691,126084,371555,0.6263,0.3393,0.2869,250877,130740,392183,0.6397,0.3334,0.3063
WA,2,Rick Larsen,D,254400,154441,422346,0.6023,0.3657,0.2367,263073,162798,437403,0.6014,0.3722,0.2293
WA,3,Marie Gluesenkamp Perez,D,197986,211907,421693,0.4695,0.5025,-0.0330,196218,213902,420817,0.4663,0.5083,-0.0420
WA,4,Dan Newhouse,R,119032,183219,310462,0.3834,0.5901,-0.2067,130107,184863,323034,0.4028,0.5723,-0.1695
WA,5,Michael Baumgartner,R,173909,217375,402950,0.4316,0.5395,-0.1079,180838,222224,415270,0.4355,0.5351,-0.0997
WA,6,Emily Randall,D,251826,168264,433649,0.5807,0.3880,0.1927,253641,177178,444191,0.5710,0.3989,0.1721
WA,7,Pramila Jayapal,D,373392,47188,434984,0.8584,0.1085,0.7499,395386,51351,455644,0.8678,0.1127,0.7551
WA,8,Kim Schrier,D,218294,193710,425522,0.5130,0.4552,0.0578,226804,197508,435843,0.5204,0.4532,0.0672
WA,9,Adam Smith,D,219426,88121,318654,0.6886,0.2765,0.4121,255762,94177,357484,0.7155,0.2634,0.4520
WA,10,Marilyn Strickland,D,204893,140614,357020,0.5739,0.3939,0.1800,216906,149910,378511,0.5731,0.3961,0.1770
WI,1,Bryan Steil,R,189560,207736,403219,0.4701,0.5152,-0.0451,190050,197950,393706,0.4827,0.5028,-0.0201
WI,2,Mark Pocan,D,324784,136735,468398,0.6934,0.2919,0.4015,310866,125928,442951,0.7018,0.2843,0.4175
WI,3,Derrick Van Orden,R,191708,222857,421044,0.4553,0.5293,-0.0740,185088,203589,395551,0.4679,0.5147,-0.0468
WI,4,Gwen Moore,D,258176,80483,344679,0.7490,0.2335,0.5155,260145,78292,342657,0.7592,0.2285,0.5307
WI,5,Scott Fitzgerald,R,183713,290101,480204,0.3826,0.6041,-0.2215,175986,282390,464784,0.3786,0.6076,-0.2289
WI,6,Glenn Grothman,R,175452,245778,426849,0.4110,0.5758,-0.1648,171949,237088,415757,0.4136,0.5703,-0.1567
